,product_name,product_price,productDesc,product_img,product_buy
16,Nike,not mentioned ,Revolution 7 Road Running Shoe,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/25205554/buy
17,Nike,not mentioned ,Revolution 7 Road Running,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-women-revolution-7-road-running-shoes/26141960/buy
18,Nike,not mentioned ,Men Road Running Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-revolution-7-road-running-shoes/25503834/buy
19,Nike,not mentioned ,Men Air Force Leather Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-air-force-1-07-leather-sneakers/21252102/buy
20,Nike,not mentioned ,Men Air Max Alpha Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-air-max-alpha-trainer-5-workout-shoes/26674200/buy
21,Nike,not mentioned ,Men Jordan Stay Loyal Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-jordan-stay-loyal-3-sneakers/27306908/buy
22,Nike,not mentioned ,Men Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-giannis-immortality-3-ep-basketball-shoes/27306914/buy
23,Nike,not mentioned ,Men Court Vision Low Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-court-vision-low-next-nature-sneakers/27306956/buy
24,Nike,not mentioned ,Women Air Max SC Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-women-air-max-sc-sneakers/27227240/buy
25,Nike,not mentioned ,Men Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-giannis-immortality-3-ep-basketball-shoes/27306842/buy
26,Nike,not mentioned ,Men Legend Essential 3,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-legend-essential-3-next-nature-workout-shoes/27285662/buy
27,Nike,not mentioned ,Unisex LeBron Witness 8 Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-unisex-lebron-witness-8-ep-basketball-shoes/26674212/buy
28,Nike,not mentioned ,Men Jumpman MVP Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-men-jumpman-mvp-sneakers/27306940/buy
29,Nike,not mentioned ,Women Court Vision Sneakers,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-women-court-vision-low-sneakers/27306932/buy
30,Nike,not mentioned ,Men Impact 4 Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-impact-4-basketball-shoes/27234230/buy
31,Nike,not mentioned ,Men Luka 2 PF Basketball Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-luka-2-pf-basketball-shoes/27315184/buy
32,Nike,not mentioned ,Women Air Force 1 Shadow,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-women-air-force-1-shadow/26670758/buy
33,Nike,not mentioned ,Unisex LeBron Witness 8 EP,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-unisex-lebron-witness-8-ep/26727892/buy
34,Nike,not mentioned ,Men's Air Force 1 '07 LV8,not mentioned ,https://www.myntra.com/casual-shoes/nike/nike-mens-air-force-1-07-lv8/26727588/buy
35,Nike,not mentioned ,Men Jordan One Take 5 PF Shoes,not mentioned ,https://www.myntra.com/sports-shoes/nike/nike-men-jordan-one-take-5-pf-basketball-shoes/27306866/buy
